early_num_events,early_num_unique_activities,early_observed_hours,early_avg_waiting_time_hours,early_median_waiting_time_hours,early_max_waiting_time_hours,early_total_waiting_time_hours,early_num_waits_over_24h,early_activity_a_accepted,early_activity_a_cancelled,early_activity_a_complete,early_activity_a_concept,early_activity_a_create_application,early_activity_a_denied,early_activity_a_incomplete,early_activity_a_pending,early_activity_a_submitted,early_activity_a_validating,early_activity_o_accepted,early_activity_o_cancelled,early_activity_o_create_offer,early_activity_o_created,early_activity_o_refused,early_activity_o_returned,early_activity_o_sent_mail_and_online,early_activity_o_sent_online_only,early_activity_w_assess_potential_fraud,early_activity_w_call_after_offers,early_activity_w_call_incomplete_files,early_activity_w_complete_application,early_activity_w_handle_leads,early_activity_w_shortened_completion_,early_activity_w_validate_application,delay_probability,actual_delayed,risk_segment
27,16,120.57542194444444,4.637516228632478,0.00037361111111111113,87.48993694444444,120.57542194444443,2,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,4,0,5,2,0,4,0.0018460433,0,low
17,9,100.61458722222223,6.288411701388889,0.0007384722222222222,100.47026555555556,100.61458722222223,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7,0,3,0,0,0,0.114154674,0,low
15,9,124.94306138888889,8.924504384920635,7.666666666666667e-05,124.80934333333333,124.94306138888889,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.11660114,0,low
21,12,117.33683333333333,5.866841666666667,0.00018194444444444443,91.2905275,117.33683333333333,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,0,0,3,0.028563673,0,low
17,9,115.92345611111111,7.245216006944443,0.0025406944444444444,95.57899638888888,115.9234561111111,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,5,0,0,0,0.23432478,0,medium
20,11,123.118415,6.4799165789473685,0.00015222222222222224,101.26083777777778,123.118415,1,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,1,0,0,5,0,3,2,0,0,0.51002127,0,critical
23,11,134.39639694444443,6.1089271338383835,0.004247222222222222,88.46006555555554,134.39639694444443,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,8,2,0,0,0.4062239,0,medium
20,11,121.17360277777777,6.377558040935672,0.008940555555555556,97.5815325,121.17360277777777,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,5,2,0,0,0.42753562,0,high
20,9,92.85910694444443,4.887321418128654,0.0003430555555555556,80.92918305555555,92.85910694444443,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7,0,6,0,0,0,0.103653714,0,low
24,11,140.62518083333333,6.114138297101449,0.006161111111111111,89.24578833333334,140.62518083333333,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,9,2,0,0,0.3932785,1,medium
